176,新疆维吾尔自治区,乌鲁木齐市,311.03
177,贵州省,铜仁地区,309.24
178,广西壮族自治区,钦州市,307.97
179,山西省,忻州市,306.75
180,辽宁省,朝阳市,304.46
181,河北省,秦皇岛市,298.76
182,广东省,河源市,295.3
183,四川省,眉山市,295.05
184,广东省,汕尾市,293.57
185,黑龙江省,大庆市,290.45
186,浙江省,湖州市,289.35
187,广西壮族自治区,梧州市,288.22
188,吉林省,松原市,288.11
189,湖北省,荆门市,287.37
190,内蒙古自治区,呼和浩特市,286.66
191,贵州省,六盘水市,285.12
192,广东省,韶关市,282.66
193,福建省,宁德市,282.2
194,贵州省,黔西南州,280.59
195,山东省,威海市,280.48
196,山东省,日照市,280.11
197,黑龙江省,牡丹江市,279.87
198,福建省,莆田市,277.85
199,辽宁省,铁岭市,271.77
200,甘肃省,定西市,269.86
201,云南省,楚雄州,268.4
202,四川省,自贡市,267.89
203,广东省,潮州市,266.98
204,内蒙古自治区,包头市,265.04
205,福建省,南平市,264.55
206,陕西省,安康市,262.99
207,辽宁省,葫芦岛市,262.35
208,甘肃省,陇南市,256.77
209,福建省,龙岩市,255.95
210,黑龙江省,佳木斯市,255.21
211,内蒙古自治区,呼伦贝尔市,254.93
212,湖南省,湘西州,254.78
213,河南省,漯河市,254.41
214,云南省,普洱市,254.3
215,安徽省,宣城市,253.3
216,云南省,保山市,250.6
217,福建省,三明市,250.34
218,四川省,广元市,248.41
219,新疆维吾尔自治区,伊犁州,248.26
220,湖北省,咸宁市,246.26
221,辽宁省,丹东市,244.47
222,云南省,临沧市,243
223,湖北省,黄石市,242.93
224,辽宁省,营口市,242.85
225,广东省,阳江市,242.18
226,新疆维吾尔自治区,阿克苏地区,237.09
227,广东省,云浮市,236.01
228,陕西省,商洛市,234.17
229,安徽省,淮南市,233.4
230,吉林省,通化市,232.52
231,云南省,玉溪市,230.4
232,贵州省,安顺市,229.73
233,山西省,晋城市,227.92
234,吉林省,延边州,227.16
235,安徽省,芜湖市,226.3
236,河南省,三门峡市,223.39
237,甘肃省,庆阳市,221.12
238,青海省,西宁市,220.87
239,陕西省,延安市,218.7
240,湖北省,随州市,216.22
241,内蒙古自治区,乌兰察布市,214.36
242,辽宁省,抚顺市,213.81
243,浙江省,衢州市,212.27
244,浙江省,丽水市,211.7
245,安徽省,淮北市,211.4
246,广西壮族自治区,来宾市,209.97
247,甘肃省,平凉市,206.8
248,海南省,海口市,204.62
249,山东省,东营市,203.53
250,吉林省,白城市,203.31
251,新疆维吾尔自治区,和田地区,201.44
252,广西壮族自治区,崇左市,199.43
253,宁夏回族自治区,银川市,199.31
254,广西壮族自治区,贺州市,195.41
255,甘肃省,临夏州,194.67
256,内蒙古自治区,鄂尔多斯市,194.07
257,黑龙江省,鸡西市,186.22
258,辽宁省,辽阳市,185.88
259,江西省,萍乡市,185.45
260,辽宁省,阜新市,181.93
261,甘肃省,武威市,181.51
262,山西省,朔州市,171.49
263,辽宁省,本溪市,170.95
264,甘肃省,白银市,170.88
265,黑龙江省,黑河市,167.39
266,内蒙古自治区,巴彦淖尔市,166.99
267,内蒙古自治区,兴安盟,161.33
268,江西省,景德镇市,158.75
269,河南省,鹤壁市,156.91
270,广东省,珠海市,156.02
271,广西壮族自治区,北海市,153.93
272,四川省,雅安市,150.73
273,湖南省,张家界市,147.65
274,黑龙江省,双鸭山市,146.26
275,新疆维吾尔自治区,昌吉州,142.86
276,安徽省,池州市,140.3
277,青海省,海东地区,139.68
278,辽宁省,盘锦市,139.25
279,山西省,阳泉市,136.85
280,安徽省,马鞍山市,136.6
281,安徽省,黄山市,135.9
282,山东省,莱芜市,129.85
283,吉林省,白山市,129.66
284,新疆维吾尔自治区,巴音郭楞州,127.85
285,宁夏回族自治区,吴忠市,127.38
286,云南省,丽江市,124.5
287,宁夏回族自治区,固原市,122.82
288,新疆维吾尔自治区,塔城地区,121.92
289,四川省,攀枝花市,121.41
290,云南省,德宏州,121.1
291,甘肃省,张掖市,119.95
292,吉林省,辽源市,117.66
293,黑龙江省,伊春市,114.81
294,江西省,新余市,113.89
295,云南省,版纳州,113.4
296,江西省,鹰潭市,112.49
297,浙江省,舟山市,112.13
298,甘肃省,酒泉市,109.59
299,四川省,甘孜州,109.19
300,宁夏回族自治区,中卫市,108.08
301,黑龙江省,鹤岗市,105.87
302,湖北省,鄂州市,104.87
303,内蒙古自治区,锡林郭勒盟,102.8
304,黑龙江省,七台河市,92.04
305,四川省,阿坝州,89.87
306,广西壮族自治区,防城港市,86.69
307,陕西省,铜川市,83.44
308,宁夏回族自治区,石嘴山市,72.55
309,安徽省,铜陵市,72.4
310,西藏自治区,日喀则地区,70.33
311,甘肃省,甘南州,68.91
312,海南省,三亚市,68.54
313,河南省,济源市,67.57
314,西藏自治区,昌都地区,65.75
315,新疆维吾尔自治区,吐鲁番地区,62.27
316,新疆维吾尔自治区,阿勒泰地区,60.33
317,新疆维吾尔自治区,哈密地区,57.24
318,西藏自治区,拉萨市,55.94
319,云南省,怒江州,53.4
320,内蒙古自治区,乌海市,53.29
321,新疆维吾尔自治区,克孜勒苏州,52.56
322,黑龙江省,大兴安岭地区,51.16
323,青海省,海西州,48.93
324,甘肃省,金昌市,46.41
325,西藏自治区,那曲地区,46.24
326,新疆维吾尔自治区,博尔塔拉州,44.37
327,青海省,海南州,44.17
328,云南省,迪庆州,40
329,新疆维吾尔自治区,克拉玛依市,39.1
330,青海省,玉树州,37.84
331,西藏自治区,山南地区,32.9
332,青海省,海北州,27.33
333,青海省,黄南州,25.67
334,甘肃省,嘉峪关市,23.19
335,内蒙古自治区,阿拉善盟,23.13
336,陕西省,杨凌示范区,20.12
337,西藏自治区,林芝地区,19.51
338,青海省,果洛州,18.17
339,西藏自治区,阿里地区,9.55
